run_id,run_name,env,noise,is_rt,seed,global_step_history,reward_history
kyv1rozk,RL_ppo_merge-v0_330_comparative_330_nfeedback_5000_rt1.0,merge-v0,0.0,True,330,"[4096, 8192, 12288, 16384, 20480, 24576, 28672, 32768, 36864, 40960, 45056, 49152, 53248, 57344, 61440, 65536, 69632, 73728, 77824, 81920, 86016, 90112, 94208, 98304, 102400]","[6.8723536, 7.3460927, 8.489914, 9.489391, 9.879524, 10.147247, 10.579226, 11.431399, 10.747571, 11.311335, 10.949174, 11.686197, 11.878388, 11.304864, 11.923774, 11.806316, 12.40543, 12.258379, 12.11417, 11.781576, 11.758872, 12.055188, 11.947759, 11.934234, 12.058564]"
tvpzixca,RL_ppo_merge-v0_330_comparative_330_nfeedback_5000,merge-v0,0.0,False,330,"[4096, 8192, 12288, 16384, 20480, 24576, 28672, 32768, 36864, 40960, 45056, 49152, 53248, 57344, 61440, 65536, 69632, 73728, 77824, 81920, 86016, 90112, 94208, 98304, 102400]","[6.8723536, 7.037255, 7.632524, 8.400186, 9.63309, 10.094793, 10.782099, 11.104412, 10.380934, 11.358141, 11.183001, 10.737455, 10.877365, 10.954934, 11.001049, 10.907408, 10.916849, 11.5851755, 10.273405, 12.012345, 11.532857, 11.448623, 10.868776, 10.768686, 11.298686]"
ftmaxhlc,RL_ppo_merge-v0_912391_comparative_912391_noise_0.1_nfeedback_5000_rt1.0,merge-v0,0.1,True,912391,"[4096, 8192, 12288, 16384, 20480, 24576, 28672, 32768, 36864, 40960, 45056, 49152, 53248, 57344, 61440, 65536, 69632, 73728, 77824, 81920, 86016, 90112, 94208, 98304, 102400]","[7.796785, 7.1430216, 8.47347, 9.114169, 9.537085, 9.833379, 10.34001, 10.982256, 10.647788, 11.172385, 11.327366, 10.898652, 10.999104, 10.9157295, 11.646289, 11.27507, 10.768713, 11.601546, 11.683127, 11.551116, 12.033593, 11.285646, 11.470147, 11.53842, 11.95383]"
pnpfdjwn,RL_ppo_merge-v0_330_comparative_330_noise_0.1_nfeedback_5000_rt1.0,merge-v0,0.1,True,330,"[4096, 8192, 12288, 16384, 20480, 24576, 28672, 32768, 36864, 40960, 45056, 49152, 53248, 57344, 61440, 65536, 69632, 73728, 77824, 81920, 86016, 90112, 94208, 98304, 102400]","[6.8723536, 7.47533, 8.28566, 9.463714, 10.454102, 10.456319, 10.923967, 11.112863, 11.279637, 10.911002, 11.18899, 10.883949, 11.982276, 11.264823, 12.0527115, 12.060627, 12.08845, 12.191983, 11.723667, 11.885941, 12.000808, 12.184184, 12.254775, 12.11891, 11.830889]"
k8tlglyf,RL_ppo_merge-v0_330_comparative_330_noise_0.1_nfeedback_5000,merge-v0,0.1,False,330,"[4096, 8192, 12288, 16384, 20480, 24576, 28672, 32768, 36864, 40960, 45056, 49152, 53248, 57344, 61440, 65536, 69632, 73728, 77824, 81920, 86016, 90112, 94208, 98304, 102400]","[6.8723536, 7.1468124, 7.9703217, 8.325363, 9.403888, 9.989046, 10.545192, 10.738466, 10.8718605, 11.037746, 10.818411, 11.181268, 10.479561, 11.271625, 11.105507, 10.663634, 9.526834, 10.251168, 11.1586, 10.860024, 11.057035, 12.157848, 11.29572, 11.349097, 10.986044]"
2qxsbf9w,RL_ppo_merge-v0_912391_comparative_912391_noise_0.25_nfeedback_5000_rt1.0,merge-v0,0.25,True,912391,"[4096, 8192, 12288, 16384, 20480, 24576, 28672, 32768, 36864, 40960, 45056, 49152, 53248, 57344, 61440, 65536, 69632, 73728, 77824, 81920, 86016, 90112, 94208, 98304, 102400]","[7.796785, 6.8350716, 8.05733, 8.523635, 9.418336, 10.01404, 9.930378, 10.795167, 10.46898, 10.666264, 10.805406, 10.863458, 11.0139885, 11.3185, 11.533179, 11.152676, 10.798604, 11.633886, 11.287032, 11.318544, 11.082048, 11.435996, 10.618982, 11.076688, 11.958597]"
sdrfxdwc,RL_ppo_merge-v0_912391_comparative_912391_noise_0.25_nfeedback_5000,merge-v0,0.25,False,912391,"[4096, 8192, 12288, 16384, 20480, 24576, 28672, 32768, 36864, 40960, 45056, 49152, 53248, 57344, 61440, 65536, 69632, 73728, 77824, 81920, 86016, 90112, 94208, 98304, 102400]","[7.796785, 7.296927, 8.477765, 9.032212, 9.410006, 9.539465, 11.043657, 10.556835, 10.78418, 10.298155, 10.83718, 10.776794, 11.266454, 10.731842, 10.030567, 10.967403, 11.031835, 10.626724, 10.715219, 10.714907, 11.171154, 11.007284, 10.61208, 11.188368, 11.375077]"
k0ajbykg,RL_ppo_merge-v0_912391_comparative_912391_noise_0.5_nfeedback_5000_rt1.0,merge-v0,0.5,True,912391,"[4096, 8192, 12288, 16384, 20480, 24576, 28672, 32768, 36864, 40960, 45056, 49152, 53248, 57344, 61440, 65536, 69632, 73728, 77824, 81920, 86016, 90112, 94208, 98304, 102400]","[7.796785, 7.08574, 8.158267, 8.66152, 9.281246, 10.280857, 10.745759, 10.961598, 10.7356, 10.660329, 10.535511, 11.518556, 11.587103, 11.164696, 11.39182, 11.723584, 11.435673, 11.685768, 11.595113, 11.379409, 11.543437, 11.993395, 12.350456, 12.360921, 12.1205435]"
sytj7usr,RL_ppo_merge-v0_912391_comparative_912391_noise_0.5_nfeedback_5000,merge-v0,0.5,False,912391,"[4096, 8192, 12288, 16384, 20480, 24576, 28672, 32768, 36864, 40960, 45056, 49152, 53248, 57344, 61440, 65536, 69632, 73728, 77824, 81920, 86016, 90112, 94208, 98304, 102400]","[7.796785, 7.236759, 8.4101925, 8.962319, 9.664539, 10.653108, 11.15604, 10.646489, 11.040725, 11.219609, 11.052893, 11.59113, 10.895163, 11.858697, 11.480307, 11.467889, 12.029334, 11.554936, 11.400405, 11.715411, 11.618459, 11.752457, 12.237901, 12.001548, 11.787327]"
dl19xhs2,RL_ppo_merge-v0_330_comparative_330_noise_0.5_nfeedback_5000_rt1.0,merge-v0,0.5,True,330,"[4096, 8192, 12288, 16384, 20480, 24576, 28672, 32768, 36864, 40960, 45056, 49152, 53248, 57344, 61440, 65536, 69632, 73728, 77824, 81920, 86016, 90112, 94208, 98304, 102400]","[6.8723536, 7.525334, 8.890072, 10.12187, 10.325008, 10.199197, 10.967919, 11.175464, 11.285184, 11.502282, 11.401173, 12.289887, 12.061143, 12.380355, 11.621074, 12.028667, 12.1999035, 12.458627, 11.832876, 12.049972, 11.801262, 12.294217, 12.702224, 11.830729, 12.253394]"
